,Label,Similar,composition,space_group_symmetry
1838,1520711.csv,['1520710.csv'],"['C325.25 H227.25 Cu16 N97.75 O116.25 S16', nan]","['P -1', 'P -1']"
1839,8100298.csv,,['Ga H O2'],['P n m a']
1840,7123012.csv,,['Co Mn2 O6 Re'],['P 1 21/n 1']
1841,2235682.csv,,['C32.5 H36.5 N7.6 O0.5 S'],['C 1 2 1']
1842,1532852.csv,,['Mg0.12 Ni1.88 O8 Pb V2'],['I 41 c d']
1843,4124261.csv,,['Fe S'],['P 4/n m m :2']
1844,4338126.csv,['7218598.csv'],"['Co H4 O8 V2', 'Co H4 O8 V2']","['P n m a', 'P n m a']"
1845,4124668.csv,,['O Pd'],['P 42/m m c']
1846,1008219.csv,"['4337057.csv', '4336319.csv', '1537500.csv', '1008220.csv', '4336320.csv']","['Cu3 Mn4 O12 Y', 'Ag Cu3 O12 V4', 'Cu3 Mn O12 V4', 'Cu3 Na0.82 O12 V4', 'Cu3 Mn4 O12 Y', 'Cu3 Mn O12 V4']","['I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3']"
1847,1535138.csv,,['H6 Mn3 O12 S2'],['P b c m']
1848,2106479.csv,,['O5 V3'],['P 1 2/c 1']
1849,9013406.csv,,['H14 Ni O11 S'],['P 21 21 21']
1850,1517070.csv,,['Bi16 O56 Ta12'],['C 1 2/c 1']
1851,9003772.csv,['9003770.csv'],"[nan, nan]","['P -1', 'P -1']"
1852,1000268.csv,['1000267.csv'],"['Cu0.5 La2 Li0.5 O4', 'Cu0.54 La2 Li0.46 O4']","['A m m m', 'A m m m']"
1853,2001754.csv,,['O36 Pb3 U11'],['P m m n :1']
1854,5910142.csv,,['Cd In2 O4'],['F d -3 m :2']
1855,1542187.csv,,['O13 V6'],['C 1 2/m 1']
1856,9011275.csv,,['Ag Cu S'],['C m c 21']
1857,2009518.csv,,['Fe Lu O8 Zn5'],['R -3 m']
1858,2106815.csv,,['Al16.32 Ca0.32 H32 Na15.68 O96 Si23.68'],['F d d 2']
1859,2107525.csv,,['O3 Pb Ti'],['P 4 m m']
1860,1007075.csv,,['Co3 O8 V2'],['A c a m']
1861,9006316.csv,,['Fe2 O3'],['F d -3 m :2']
1862,1530958.csv,,['S4 Tl3 V'],['I -4 3 m']
1863,7058344.csv,,['C14.67 H24 Cl1.33 N2.67 O0.67'],['P b c n']
1864,2107065.csv,,['O47 W17'],['P 1 2/m 1']
1865,1520924.csv,"['1520926.csv', '1001814.csv', '1520925.csv']","['Bi0.9888 Ca1.57 Mn2 O9 Pb0.6592 Sr1.43', 'Bi0.9864 Ca1.57 Mn2 O9 Pb0.6576 Sr1.43', 'Bi1.5 Ca1.47 Mn2 O9 Pb0.5 Sr1.53', 'Bi0.9912 Ca1.56 Mn2 O9 Pb0.6608 Sr1.44']","['A m a a', 'F m m m', 'A b m m', 'A b m m']"
1866,1502817.csv,,['C32.55 H51.96 O4'],['P 65']
1867,4326534.csv,,['Ba3.97 Fe3 K1.03 O9'],['P a -3']
1868,7222926.csv,,['S2 Yb'],['C 1 2/c 1']
1869,2002574.csv,,['Al10 Mn O20 Pb3'],['C 1 2/m 1']
1870,1544380.csv,,['Ba2.15 Fe4 O13 Pb2.85 Sn'],['A m m m']
1871,9001002.csv,,['Al6.81 B0.98 O18 Si2.98'],['P m c n']
1872,1505517.csv,,['C44.85 H37.7 Cl1.7 O6'],['P -1']
1873,1532698.csv,,['O24 Rh7.5 Sr10.5'],['P -3 c 1']
1874,4113417.csv,,['Ga26 S51 Zn4'],['I 41/a :2']
1875,1004114.csv,['9012859.csv'],"['Ag2 O12 U2 V2', 'Ag O6 U V']","['P 1 21/c 1', 'P 1 21/c 1']"
1876,1509150.csv,,['Ag Bi6 S9'],['C 1 2/m 1']
1877,1008923.csv,,['Al O3 Y'],['P 63/m m c']
1878,1521685.csv,,[nan],['F d -3 m :2']
1879,1532256.csv,,['O3 Ta0.18 W0.82 Y0.06'],['P n m a']
1880,9003722.csv,,['Ca0.36 Mg0.81 Na0.56 O6 Si2.27'],['C 1 2/c 1']
1881,1200005.csv,,['Al2 O3'],['C 1 2/m 1']
1882,7212950.csv,"['7212942.csv', '7212949.csv', '7212939.csv', '7212941.csv', '7212940.csv', '7212951.csv']","['K0.75 Na0.25 Nb O3', 'K0.7 Na0.3 Nb O3', 'K0.73 Na0.27 Nb O3', 'K0.7 Na0.3 Nb O3', 'K0.7 Na0.3 Nb O3', 'K0.7 Na0.3 Nb O3', 'K0.72 Na0.28 Nb O3']","['A m m 2', 'A m m 2', 'A m m 2', 'A m m 2', 'A m m 2', 'A m m 2', 'A m m 2']"
1883,2214977.csv,,['C14.5 H12 O4.5 S2'],['C 1 2/c 1']
1884,8103743.csv,,['Eu1.143 S3 Ti'],['P -3']
1885,4026332.csv,,['C65.5 H78 Cl1.5 O6'],['I 1 2/a 1']
1886,1530038.csv,,['Cd S2 Tl'],['P -3 m 1']
1887,9000092.csv,,['O8 V3'],['C 1 2/m 1']
1888,1521640.csv,,['Eu2 O5 Re'],['P 4/n :2']
1889,4117532.csv,,['Fe0.33 O Sc0.33'],['R 3 c :H']
1890,1527829.csv,,['Ce O4 V'],['I 41/a m d :1']
1891,1531586.csv,,['Al Au O2'],['P 63/m m c']
1892,1532628.csv,['1532631.csv'],"['Bi14 Cr O24', 'Bi14 Cr O24']","['I 4/m', 'C 1 2/m 1']"
1893,1532370.csv,"['1526773.csv', '1526775.csv', '1526776.csv', '1526780.csv', '1531301.csv', '1526778.csv']","['La1.39 Mn2 O7 Sr1.61', 'La1.3 Mn2 O7 Sr1.7', 'La1.1 Mn2 O7 Sr1.9', 'La1.4 Mn2 O7 Sr1.6', 'La1.04 Mn2 O7 Sr1.96', 'Ca0.36 La1.2 Mn2 O7 Sr1.44', 'La1.2 Mn2 O7 Sr1.8']","['I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m']"
1894,1535757.csv,,['Cu H7 O5 Tl'],['P 1 1 21/m']
1895,1535921.csv,['2201244.csv'],"['Eu4 Mo7 O27', 'Gd4 Mo7 O27']","['C 1 2/c 1', 'C 1 2/c 1']"
1896,2231869.csv,,['H4 O9 Th V2'],['P -1']
1897,9008202.csv,"['9001495.csv', '9000065.csv', '9001496.csv', '9008203.csv', '9000039.csv']","['Cu Fe2 S3', 'Cu Fe2 S3', 'Cu Fe2 S3', 'Cu Fe2 S3', 'Cu Fe2 S3', 'Cu Fe2 S3']","['P c m n', 'P c m n', 'P c m n', 'P c m n', 'P c m n', 'P c m n']"
1898,9008389.csv,,['Cu S'],['P 63/m m c']
1899,4329799.csv,,['O S Th'],['P 4/n m m :2']
1900,1011073.csv,,['Mo O3'],['P b n m']
1901,1520968.csv,,['Gd H3'],['P -3 c 1']
1902,1509007.csv,,['Ag0.6 Nb S2'],['P 63/m m c']
1903,1008596.csv,"['1008791.csv', '1008793.csv', '1008597.csv', '7036921.csv', '1008595.csv', '1008792.csv']","['Li0.89 O4 Ti2', 'Li1.03 O4 Ti2', 'Li0.75 O4 Ti2', 'Li0.86 O4 Ti2', 'Ba1.2 Ca0.8 La Nb O6', 'Li0.93 O4 Ti2', 'Li0.89 O4 Ti2']","['F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'C 1 2/m 1', 'F d -3 m :2', 'F d -3 m :2']"
1904,4031552.csv,,['Ba1.25 Mn3 Ni O12 Sr3.75'],['P -3 c 1']
1905,4504653.csv,,['C2.5 H4 O1.5'],['R -3 m :H']
1906,1526822.csv,,['Co O2'],['C c m m']
1907,7227766.csv,,['Eu2 O10 S'],['C 1 2/m 1']
1908,1001256.csv,"['1001317.csv', '9014028.csv']","['O3 Sn0.3 W', 'O3 Sn0.26 W', 'O15 Sn1.3 W5']","['P 4/m b m', 'P 4/m b m', 'P 4/m b m']"
1909,1528886.csv,['9000850.csv'],"[nan, 'Ca1.74 Fe0.91 Nb0.98 O14 Th0.26 Ti2.11 Zr2']","['C 1 2/c 1', 'C 1 2/c 1']"
1910,1527964.csv,,['Mn O3 Tb'],['P b n m']
1911,1010955.csv,"['9000062.csv', '9009723.csv', '9000523.csv', '9009584.csv', '9008388.csv', '9008368.csv']","['Cu S', 'Cu S', 'Cu S', 'Cu S', 'Cu S', 'Cu S', 'Cu S']","['P 63/m m c', 'P 63/m m c', 'P 63/m m c', 'P 63/m m c', 'P 63/m m c', 'P 63/m m c', 'P 63/m m c']"
1912,4103690.csv,['4103688.csv'],"['C52.75 H74.75 Fe Mn O2', 'C52.75 H74.75 Fe2 O2']","['I b a 2', 'I b a 2']"
1913,9011566.csv,,['H'],['P 63/m m c']
1914,9003467.csv,"['9003464.csv', '9003466.csv', '9003465.csv']","['Bi0.573 S3 Sb1.427', 'Bi0.364 S3 Sb1.636', 'Bi0.536 S3 Sb1.464', 'Bi0.516 S3 Sb1.484']","['P n m a', 'P n m a', 'P n m a', 'P n m a']"
1915,1537722.csv,,['Pt S'],['P 42/m m c']
1916,9014862.csv,['1000433.csv'],"['Fe0.375 Li0.708 O2 Sn0.542', 'Fe0.75 Li1.417 O4 Sn1.083']","['P m c n', 'P m c n']"
1917,4030187.csv,,['In6 S19 Sn8'],['C 1 2/m 1']
1918,1526228.csv,,['Er Fe2 H5'],['I m m 2']
1919,1522027.csv,,['Co O2'],['P -3 m 1']
1920,7032780.csv,,['C63.83 H47.83 Cl2.34 N7.83 O10 Zn'],['P -1']
1921,1528961.csv,['7228258.csv'],"['Cu1.03 O6 Ta2', 'Cu2.667 Li2.667 O24 Ta8']","['P m m m', 'I m -3']"
1922,4100632.csv,,['C212.5 H100 Fe12 N36.5 O90 S12'],[nan]
1923,1529955.csv,['1529015.csv'],"['O Ti6', 'O Ti6']","['P -3 1 c', 'P 3 1 c']"
1924,2203537.csv,,['H32 La2 Mo6 O40 Pt'],['C 1 2/c 1']
1925,9009239.csv,,['Ni S'],['P 63 m c']
1926,9001348.csv,,[nan],['C 1 2/m 1']
1927,8104288.csv,,['Al4.4 Fe7.9 H16 Mg1.5 O36 Si6.2'],['C 1 2/m 1']
1928,1527589.csv,,['S4 Sm3 Tm'],['F m -3 m']
1929,1509685.csv,,['Ag2 O10 U W2'],['P n m a']
1930,1507777.csv,,['Bi3.33 O10 V2'],['P -1']
1931,7021876.csv,,['C114.5 H150.5 Fe6 O65'],['P -1']
1932,9011828.csv,,['Ir0.727 Rh2.273 S4'],['C 1 2/m 1']
1933,4060085.csv,['4061556.csv'],"['C33.25 H18.5 Cl0.5 Fe6 O18 S9', 'C33.25 H18.5 Cl0.5 Fe6 O18 S9']","['P -1', 'P -1']"
1934,2002744.csv,,['Cu1.815 Fe1.815 Mo3 O12'],['P 21 21 21']
1935,1542011.csv,,['O6 Pb3 S'],['C m c m']
1936,1527051.csv,,[nan],['P n -3 m :2']
1937,2107168.csv,,['Bi7 Cu4 S12'],['C 1 2/m 1']
1938,8103677.csv,,['Co O4 W'],['P 1 2/c 1']
1939,1005018.csv,,['Al0.67 La3 Mo4.33 O14'],['P n m a']
1940,1509886.csv,,['Ag4 Mn3 O8'],['R 3 2 :H']
1941,9015059.csv,,['Fe O2'],['P 1']
1942,1536263.csv,,['K1.8 Li2.45 O16 Sb5.55'],['I 4/m']
1943,4324652.csv,,['K1.39 Mn3 O6'],['C 1 2/m 1']
1944,7043030.csv,,['C29.25 H37.25 Mo N2.25 O4'],['I 1 2/a 1']
1945,2310506.csv,,['Nb10 O29 Ti2'],['A m m a']
1946,2002568.csv,,['Ba4.975 Ca1.025 Fe4 La2 O15'],['P 63 m c']
1947,1519937.csv,,[nan],['P 1 21/a 1']
1948,4001027.csv,['2106576.csv'],"['O15 Pb3 Rh7', 'O15 Pb3 Rh7']","['P 63/m c m', 'P 63/m c m']"
1949,4343627.csv,,['Li3.18 Mn1.82 O22 U6'],['C 1 c 1']
1950,1539253.csv,,['Mo2.25 O'],['F m -3 m']
1951,9004660.csv,,['Ag2.074 Bi26.38 Cu6 Pb24.54 S68'],['C 1 2/m 1']
1952,8103742.csv,['1526146.csv'],"['S3 Sr1.143 Ti', 'Fe0.143 S3 Sr1.143 Ti0.857']","['P -3', 'P -3']"
1953,1525682.csv,,['O3 Rh2'],['P b c a']
1954,9012838.csv,,['Al4 H18 O18 S'],['P 1 21 1']
1955,9009765.csv,,['Bi O2'],['C 1 2/c 1']
1956,1525571.csv,['1525572.csv'],"['Ni O3 Yb', 'Lu Ni O3']","['P 1 21/n 1', 'P 1 21/n 1']"
1957,1004068.csv,,['Nd4 O19 Os6'],['I 2 3']
1958,2107324.csv,['4301422.csv'],"['Cr2 Er6 S11', 'Cr1.98 Er6.02 S11']","['C m c 21', 'C m c m']"
1959,1528561.csv,,['H2 S'],['P 42']
1960,9004182.csv,,['Fe3 H6 O14 Pb S2'],['R -3 m :H']
1961,1539919.csv,,['Ag82.4 Al91.5 H9.1 O384 Si100.5'],['F d -3 :2']
1962,1529531.csv,,['In16.85 S32 Sn3.72'],['F d -3 m :2']
1963,2015105.csv,,['C24.04 H23.06 Cu2 N5.02 O8'],['C 1 2/c 1']
1964,1541453.csv,,['Mn3 O Ti3'],['F d -3 m :1']
1965,8104462.csv,,['O4 Pb0.5 Th0.5 V'],['P 1 21/n 1']
1966,1529513.csv,,['Cr0.9 Na0.9 S2 Ti0.1'],['R -3 m :H']
1967,7114122.csv,,['C76.5 H70 Cl9.5 N6.5 O1.5'],['R -3 :H']
1968,2215687.csv,['9008717.csv'],"['In O Pr3', 'O Sm']","['P m -3 m', 'F m -3 m']"
1969,4000772.csv,,['Al2 Fe S4'],['P -3 m 1']
1970,4318002.csv,"['4318001.csv', '4318003.csv']","['Eu4 Mo4 O11', 'Mo4 O11 Sm4', 'Gd4 Mo4 O11']","['P b a m', 'P b a m', 'P b a m']"
1971,4305221.csv,,['C13.61 H5 Al O7.8'],['P n m a']
1972,1001084.csv,,['Nb1.15 O5 Rb0.85 Ti0.85'],['P n m a']
1973,1533332.csv,,['Ca2.4 La0.6 Mn2 O7'],['I 4/m m m']
1974,7152092.csv,,['C7.5 H8.5 O2'],['P -1']
1975,1542109.csv,,['O3 Sm2'],['I 21 3']
1976,9013958.csv,,['Bi4 S3'],['R -3 m :H']
1977,1532137.csv,,['Cr Nd O4'],['I 41/a m d :2']
1978,1538044.csv,,['Nb S2'],['R -3 m :H']
1979,7204951.csv,,['C34.42 H28 O3 S0.58'],['P -1']
1980,1508440.csv,,['Dy H3 Ni O7 S'],['P n m a']
1981,1520004.csv,['2240564.csv'],"['C30.25 H41 O8', 'C30.25 H41 O8']","['P -1', 'P -1']"
1982,4108993.csv,,['C15.5 H25.5 O3'],['C 1 2 1']
1983,1521095.csv,,['O11 Ti6'],['C 1 2/m 1']
1984,2105345.csv,['8103397.csv'],"['Ag Mn O4', 'Ag Mn O4']","['P 1 21/n 1', 'P 1 21/n 1']"
1985,9010011.csv,,['Fe S2'],['P a -3']
1986,2018526.csv,"['1000138.csv', '1000137.csv', '9016228.csv', '9016160.csv']","['Cu3 H6 O11 V2', 'Cu3 H6 O11 V2', 'Cu3 H6 O11 V2', 'Cu3 H6 O11 V2', 'Cu3 H6 O11 V2']","['C 1 2/c 1', 'C 1 2/m 1', 'C 1 2/m 1', 'I 1 2/a 1', 'C 1 2/m 1']"
1987,1522261.csv,"['1530270.csv', '9001072.csv', '9001251.csv']","['Fe10.6 Ga1.4 O19 Pb', 'Ga10.5 In0.5 La0.96 Mn O19', nan, 'Fe12 O19 Pb1.002']","['P 63/m m c', 'P 63/m m c', 'P 63/m m c', 'P 63/m m c']"
1988,9012316.csv,,['H2 Ni O2'],['R -3 m :H']
1989,1000482.csv,,['La2 O5 Pd2'],['P 42/m']
1990,1534158.csv,,['Hg O6 V2'],['P b c a']
1991,4506063.csv,,['Er4 H10 O23 S4'],['P 21 21 21']
1992,7123300.csv,,['C57.4 H45.6 N9.2 O12'],['P -1']
1993,4106274.csv,,['O168 U32'],['I m m m']
1994,2003126.csv,"['2003127.csv', '1009026.csv', '1009025.csv']","['Hf0.4 O3 Pb Ti0.6', 'Hf0.4 O3 Pb Ti0.6', 'Hf0.4 O3 Pb Ti0.6', 'Hf0.4 O3 Pb Ti0.6']","['P 4 m m', 'P 4 m m', 'P 4 m m', 'P 4 m m']"
1995,1528742.csv,,[nan],['P b a n :2']
1996,1538620.csv,['9004708.csv'],"['Mn S', nan]","['F m -3 m', 'F m -3 m']"
1997,1530783.csv,,['Er2 O12 S3'],['P b c n']
1998,9016539.csv,,['Bi5.198 Gd2.802 O12'],['I 21 3']
1999,9012327.csv,['9007723.csv'],"['Bi2 O3', 'Bi2 O3']","['P -4 b 2', 'P -4 21 c']"
2000,1541816.csv,,['Ni O2 Rb0.1'],['R -3 m :H']
2001,1530063.csv,['2002235.csv'],"['Fe Nb O4', 'Fe Nb O4']","['P b c n', 'P 1 2/a 1']"
2002,4303938.csv,"['4303941.csv', '9016469.csv', '1001093.csv', '1528990.csv', '9014470.csv', '1001092.csv']","['O7 Pr2 Zr2', 'Nd2 O7 Zr2', 'O7 Pb2 Sn2', 'O6 Pb2 Sn2', 'Hf2 La1.6 O7 Y0.4', 'O3 Pb Sn', 'H2 O7 Pb2 Sn2']","['F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2']"
2003,4031383.csv,,['Gd H3 O3'],['P 63/m']
2004,9012275.csv,"['9012252.csv', '9012273.csv', '9012274.csv', '9012251.csv', '9012253.csv', '9015088.csv']","['Al H O2', 'Al H O2', 'Al H O2', 'Al H O2', 'Al H O2', 'Al H O2', 'Al H0.08 O2']","['C m c m', 'C m c m', 'C m c m', 'C m c m', 'C m c m', 'C m c m', 'A m a m']"
2005,9012319.csv,,['H Ni O2'],['R -3 m :R']
2006,2009661.csv,,['Cr2 H2 Nd2 O10'],['P 1 21/c 1']
2007,1530910.csv,,['Nb O4 Y'],['C 1 2/c 1']
2008,1521006.csv,['1004123.csv'],"['Fe1.75 O11 Pb V4.25', 'Fe1.75 O11 Pb V4.25']","['P 63 m c', 'P 63 m c']"
2009,4111415.csv,,['C2.75 H Co0.25 N0.25 O1.25'],['I m m a']
2010,1540821.csv,,['H Nb3 Sn'],['P m -3 n']
2011,1006141.csv,['1100167.csv'],"['La Mn O3', 'La Mn O3']","['P b n m', 'P b n m']"
2012,1551421.csv,,['C19.2 H8 Al2 O16.4'],['I 41 2 2']
2013,2101477.csv,['2101478.csv'],"['Al Fe O3', 'Al Fe O3']","['P n a 21', 'P n a 21']"
2014,7220201.csv,,['Fe1.15 H Li0.85 O S'],['P 4/n m m :2']
2015,2239824.csv,,['Al6 O11 Pb0.35 Sr1.65'],['P n n m']
2016,1509348.csv,,['Ag Ga S2'],['I -4 2 d']
2017,1526222.csv,,['Ca0.89 Ce0.11 H0.59 Nb1.3 O6 Ti0.7'],['P c a n']
2018,7122639.csv,,['C16.5 H20 O0.5'],['P 21 21 21']
2019,2200280.csv,,['C1.875 H7.5 N1.25 O5 P1.25 Zn1.25'],['P -4 21 c']
2020,1538523.csv,,['Mn O4 S'],['C m c m']
2021,4301112.csv,,['Bi0.26 Nd0.36 O4 Rh2'],['P n m a']
2022,9015255.csv,,['Eu2 O7 Ta2'],['C m c m']
2023,1532915.csv,,['Bi0.5 K0.1 Na0.4 O3 Ti'],['P 4 b m']
2024,1536198.csv,,['Fe0.13 Mg0.87 Mo1.87 O7 V0.13'],['P 1 21/n 1']
2025,9009886.csv,['9009928.csv'],"['Cu Ga S2', 'Cu Ga S2']","['I -4 2 d', 'I -4 2 d']"
2026,4029203.csv,,['Li1.333 Mn1.667 O4'],['F d -3 m :1']
2027,1510304.csv,,['Au0.54 Ca3.19 O8 Pd4'],['P 42/m m c']
2028,1509754.csv,,['Ag2.95 O12 V4'],['B 1 1 m']
2029,1539033.csv,,['Mo3 S4'],['R -3 :H']
2030,9013087.csv,,['H2'],['P 63/m m c']
2031,4325463.csv,,['C35.5 H32.25 Fe N6.75 O6'],['P 1 21 1']
2032,9000738.csv,,['As0.4 Fe4.56 O12 S0.84 Sb3.84 Zn0.2'],['P 42/m b c']
2033,7222679.csv,,['O Rb5.33'],['F m -3 c']
2034,2002489.csv,,['Cu La O8 W2'],['P -1']
2035,9011420.csv,,['Al0.364 H2 Mg0.636 O2'],['P -3 m 1']
2036,2002823.csv,,['Al12 O32 Pb8 Sm4'],['P n -3 m :2']
2037,8104002.csv,,['Cu H8 O12 Re2'],['P -1']
2038,1521733.csv,,['Cr2.5 O9 Sr4.5'],['A 21 a m']
2039,1531914.csv,,['H8 O16 Re3 Yb'],['P 1 21/n 1']
2040,1532088.csv,['1532087.csv'],"['Ba0.5 Co O3 Pr0.5', 'Ba0.4 Co O3 Pr0.6']","['P 4/m m m', 'P 4/m m m']"
2041,9002002.csv,,['Al1.9 Na1.86 O12 Si4.1'],['I 41/a c d :2']
2042,2310569.csv,,['Co O4 S'],['P 1 21/m 1']
2043,1544873.csv,['8103666.csv'],"['Bi2.86 Cu0.98 S5', 'Bi5 Cu S8']","['C 1 2/m 1', 'C 1 2/m 1']"
2044,7204541.csv,,['Na0.51 Nb S2'],['P 63/m m c']
2045,7054372.csv,,['C8.5 H5.5 S Si0.5'],['C m c 21']
2046,1528712.csv,,['Ga3.39 In0.61 O10 Sn1.87 Ti0.135'],['P 1 2/m 1']
2047,9004457.csv,,['H Mn O9 Pb2 V2'],['P 1 21/m 1']
2048,1509785.csv,['4319054.csv'],"['Ag2 Cu2 O3', 'Ag2 Cu2 O3']","['I 41/a m d :2', 'I 41/a m d :2']"
2049,9016426.csv,,['Ce O4 V'],['I 41/a m d :2']
2050,1526075.csv,,['Bi9.85 O21 Pb6.15'],['P -1']
2051,1527935.csv,,['O4 Pb W'],['I 41/a :2']
2052,2019604.csv,,['H12 O14 S2 U'],['I 1 2/a 1']
2053,1008779.csv,,['O4 Sc V'],['I 41/a m d :1']
2054,9003638.csv,,['Fe2 H10 O17 S3'],['P 1 21/m 1']
2055,4310275.csv,,['C4.5 H3 Cd0.25 N0.5 O1.75 S0.25'],['P -1']
2056,4000254.csv,,['C0.67 H2 O2 P0.67 Sn0.67'],['P 1 21/c 1']
2057,1006010.csv,,['Ni O4 Pr2'],['B m a b']
2058,9000679.csv,,['Li0.6 O4 Si1.3 Zn1.1'],['P 1 21/n 1']
2059,1534048.csv,,['H34 Mo12 Ni5 O52'],['I 41/a m d :1']
2060,1525401.csv,['1528967.csv'],"['La Nb O4', 'La Nb O4']","['I 1 2/c 1', 'I 1 2/c 1']"
2061,1535988.csv,,['Mo O5 V'],['P 4/n :2']
2062,7213423.csv,,['C28.5 H19.5 N4.5 O12'],['P -1']
2063,1532034.csv,,['Cd S4 Sc2'],['F -4 3 m']
2064,9000790.csv,,['Al0.8 Fe0.42 Mg2.58 Na0.55 O12 Si3.2'],['C 1 2/m 1']
2065,1526343.csv,,['Cr O3 V'],['R -3 c :H']
2066,7115134.csv,,['C83.5 H155 Cl3.5 Cr12 O53'],['P -1']
2067,1001828.csv,"['9015792.csv', '1545135.csv']","['Co Nd2 O6 Pt', 'Co0.5 Nd O3 Pt0.5', 'Co Nd2 O6 Ru']","['P 1 21/n 1', 'P 1 21/n 1', 'P 1 21/n 1']"
2068,2310434.csv,,['O Pb'],['P 4/n m m :2']
2069,9011276.csv,['9011277.csv'],"['Ag Cu S', 'Ag Cu S']","['P m c 21', 'P m c 21']"
2070,1526734.csv,['1538531.csv'],"['Co3 O4', 'Co3 O4']","['F -4 3 m', 'F d -3 m :1']"
2071,1551108.csv,['1551107.csv'],"['H K3 O8 S2', 'H K3 O8 S2']","['A 1 2/a 1', 'A 1 2/a 1']"
2072,1010579.csv,,['S V'],['P 63/m m c']
2073,7046865.csv,,['C58.5 H90.75 Mo6 N4.25 O18'],['P n a 21']
2074,1529951.csv,,['Mo8 O23'],['P 1 c 1']
2075,4340670.csv,,['Bi3 Cr2.91 O11'],['P n -3 :2']
2076,9006523.csv,,['Cr2 S4 Zn'],['F d -3 m :2']
2077,2002335.csv,,['Dy2 O5 Ti'],['F -4 3 m']
2078,1544246.csv,,['C21.5 H26 O6.5'],['P -1']
2079,8103634.csv,,['Pr S2'],['P 21/b 1 1']
2080,1536059.csv,,['Co19.5 O48'],['R 3 m :H']
2081,1532669.csv,['7229740.csv'],"['Al3.8 Co1.62 Na0.61 O72 Si32.2', 'C1.68 H1.9 Al0.17 N0.34 Na0.17 O9 Si4.33']","['I m m m', 'I m m m']"
2082,4100891.csv,,['C50.75 H35.5 Cl1.5 O6 Ti'],['C 1 2/c 1']
2083,1543899.csv,['2006190.csv'],"['Cr2 Cu O4', 'Cr2 Cu O4']","['I 41/a m d :2', 'I 41/a m d :2']"
2084,1011181.csv,['9014849.csv'],"['Fe Ni S2', 'Fe0.5 Ni0.5 S']","['F m -3 m', 'F m -3 m']"
2085,1530870.csv,,['O2 V'],['C 1 2/m 1']
2086,1506202.csv,,['C9.5 H11.5 N0.5 O S0.5'],['P -1']
2087,1001744.csv,,['Fe H5 O6 Sn'],['P n -3 :2']
2088,4303040.csv,,['Cs1.15 Mo12 S14'],['P -3 1 c']
2089,1521325.csv,,['La1.2 Ni O4 Sr0.8'],['I 4/m m m']
2090,9007402.csv,,['Bi2 S3'],['P n m a']
2091,4124518.csv,,['Li0.026 O2 Ti'],['I 41/a m d :2']
2092,2015730.csv,,['Ca1.5 Eu3 O7 Sn0.5'],['C 1 2/m 1']
2093,9000199.csv,['1530438.csv'],"['Cr O5 Pb2', 'Cr O5 Pb2']","['C 1 2/m 1', 'C 1 2/m 1']"
2094,1539951.csv,['1537412.csv'],"['O2 V', 'O2 V']","['P 42/m n m', 'P 42/m n m']"
2095,1509061.csv,,['Ag0.961 Mo6 S8'],['P -1']
2096,8103679.csv,"['2002115.csv', '2002316.csv']","['Nb2 Ni O6', 'Nb1.76 O6 V0.24 Zn', 'Nb2 Ni O6']","['P b c n', 'P b c n', 'P b c n']"
2097,1001290.csv,,['Li1.6 O8 Sn2.1 Ti0.7 Zn1.6'],['P 63 m c']
2098,5910336.csv,['1537372.csv'],"['Cd Ga2 S4', 'Cd Ga2 S4']","['I -4', 'I -4']"
2099,9000582.csv,"['9000583.csv', '9000579.csv']","['Fe0.499 Mg0.499 O5 Ti2', 'Fe0.5 Mg0.5 O5 Ti2', 'Fe0.5 Mg0.5 O5 Ti1.999']","['B b m m', 'B b m m', 'B b m m']"
2100,9009314.csv,,['Mn2 O7 V2'],['C 1 2/m 1']
2101,9002383.csv,,['Al0.05 Li0.05 O2 Si0.95'],['P 32 2 1']
2102,1535445.csv,,['Cu H2 Mo3 O11'],['P n m a']
2103,9011434.csv,,['Nb O6 Ti Y'],['P b c n']
2104,1517469.csv,,['C4.53 H O4.07 Zn'],['R -3 :H']
2105,1542148.csv,,['Li0.38 Na0.62 O3 V'],['C 1 2/c 1']
2106,1539817.csv,,['Co0.08 Fe0.92 S'],['P -6 2 c']
2107,2020153.csv,,['Mo2 O8 U'],['P b a n :2']
2108,7025835.csv,,['C75.15 H175 Co8 Cr4 O47.75 P4.1'],['P 1 21/c 1']
2109,4001424.csv,,['Cu3.02 Mg2.27 Mo18 S24'],['R -3 :H']
2110,7200365.csv,,['C66.2 H84 O5'],['C 1 2/m 1']
2111,1509988.csv,,['Ag8 S6 Ti'],['P n a 21']
2112,4110019.csv,,['C0.01 H0 O0.01 Zn0'],['F m -3 m']
2113,5910241.csv,['5910296.csv'],"['Cu Mn2 O4', 'Co Ga2 O4']","['F d -3 m :2', 'F d -3 m :2']"
2114,1532248.csv,,['Li0.56 Na0.73 O2 Ti0.68'],['R -3 m :H']
